titulo ,score,date
Kyoukaisenjou no Horizon,7.09,"Oct 2, 2011, 02:58 (JST)"
Eve no Jikan,8.08,"Aug 1, 2008"
Mnemosyne: Mnemosyne no Musume-tachi,7.32,"Feb 4, 2008"
Bokura no,7.66,"Apr 9, 2007, 01:30 (JST)"
Uchuu Kyoudai,8.52,"Apr 1, 2012, 07:00 (JST)"
Code Geass: Boukoku no Akito 1 - Yokuryuu wa Maiorita,7.40,"Jul 16, 2012"
Last Exile,7.82,"Apr 8, 2003, 01:30 (JST)"
Tokyo ESP,6.57,"Jul 12, 2014"
Haiyore! Nyaruko-san W,7.28,"Apr 8, 2013, 01:05 (JST)"
Onegai☆Teacher,7.17,"Jan 10, 2002"
Date A Live: Date to Date,7.36,"Dec 6, 2013"
No Guns Life,6.88,"Oct 11, 2019, 01:28 (JST)"
Saint Seiya,7.77,"Oct 11, 1986"
Toaru Kagaku no Railgun T,8.25,"Jan 10, 2020, 22:00 (JST)"
Strike Witches,7.00,"Jul 4, 2008, 01:20 (JST)"
Divine Gate,5.59,"Jan 8, 2016, 22:30 (JST)"
Tsuritama,7.70,"Apr 13, 2012, 01:15 (JST)"
Date A Live Movie: Mayuri Judgment,7.36,"Aug 22, 2015"
To LOVE-Ru OVA,7.31,"Apr 3, 2009"
Mobile Suit Gundam SEED,7.78,"Oct 5, 2002, 18:00 (JST)"
Utawarerumono,7.66,"Apr 4, 2006, 02:40 (JST)"
"Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?",6.10,"Aug 18, 2017"
Subete ga F ni Naru,7.27,"Oct 9, 2015, 00:55 (JST)"
Freezing Vibration,6.81,"Oct 4, 2013, 21:30 (JST)"
DRAMAtical Murder,6.09,"Jul 7, 2014"
UQ Holder!: Mahou Sensei Negima! 2,6.99,"Oct 3, 2017, 00:00 (JST)"
Beatless,6.19,"Jan 13, 2018, 01:55 (JST)"
So Ra No Wo To,7.55,"Jan 5, 2010, 01:30 (JST)"
